ORIGEN,DESTINO,MOTIVO,VIAJES
ACATIC,(MISMO MUNICIPIO),trabajo,9813.2
ACATIC,(OTRA ENTIDAD),trabajo,19.0
ACATIC,(OTRO MUNICIPIO),trabajo,457.8
ACATLAN DE JUAREZ,(MISMO MUNICIPIO),trabajo,6932.9
ACATLAN DE JUAREZ,(OTRA ENTIDAD),trabajo,145.0
ACATLAN DE JUAREZ,(OTRO MUNICIPIO),trabajo,2790.0
AHUALULCO DE MERCADO,(MISMO MUNICIPIO),trabajo,9452.3
AHUALULCO DE MERCADO,(OTRA ENTIDAD),trabajo,38.0
AHUALULCO DE MERCADO,(OTRO MUNICIPIO),trabajo,1127.7
AMACUECA,(MISMO MUNICIPIO),trabajo,1736.8
AMACUECA,(OTRA ENTIDAD),trabajo,6.0
AMACUECA,(OTRO MUNICIPIO),trabajo,415.2
AMATITAN,(MISMO MUNICIPIO),trabajo,5478.0
AMATITAN,(OTRA ENTIDAD),trabajo,34.0
AMATITAN,(OTRO MUNICIPIO),trabajo,947.0
AMECA,(MISMO MUNICIPIO),trabajo,22938.6
AMECA,(OTRA ENTIDAD),trabajo,74.0
AMECA,(OTRO MUNICIPIO),trabajo,1461.4
ARANDAS,(MISMO MUNICIPIO),trabajo,34661.3
ARANDAS,(OTRA ENTIDAD),trabajo,231.0
ARANDAS,(OTRO MUNICIPIO),trabajo,393.7
ATEMAJAC DE BRIZUELA,(MISMO MUNICIPIO),trabajo,2720.6
ATEMAJAC DE BRIZUELA,(OTRA ENTIDAD),trabajo,15.0
ATEMAJAC DE BRIZUELA,(OTRO MUNICIPIO),trabajo,78.4
ATENGO,(MISMO MUNICIPIO),trabajo,1364.4
ATENGO,(OTRA ENTIDAD),trabajo,4.0
ATENGO,(OTRO MUNICIPIO),trabajo,160.6
ATENGUILLO,(MISMO MUNICIPIO),trabajo,1669.0
ATENGUILLO,(OTRA ENTIDAD),trabajo,1.0
ATENGUILLO,(OTRO MUNICIPIO),trabajo,49.0
ATOTONILCO EL ALTO,(MISMO MUNICIPIO),trabajo,25755.9
ATOTONILCO EL ALTO,(OTRA ENTIDAD),trabajo,123.0
ATOTONILCO EL ALTO,(OTRO MUNICIPIO),trabajo,584.1
ATOYAC,(MISMO MUNICIPIO),trabajo,3274.5
ATOYAC,(OTRA ENTIDAD),trabajo,9.0
ATOYAC,(OTRO MUNICIPIO),trabajo,178.5
AUTLAN DE NAVARRO,(MISMO MUNICIPIO),trabajo,28189.0
AUTLAN DE NAVARRO,(OTRA ENTIDAD),trabajo,198.0
AUTLAN DE NAVARRO,(OTRO MUNICIPIO),trabajo,1421.9
AYOTLAN,(MISMO MUNICIPIO),trabajo,16198.9
AYOTLAN,(OTRA ENTIDAD),trabajo,727.0
AYOTLAN,(OTRO MUNICIPIO),trabajo,298.1
AYUTLA,(MISMO MUNICIPIO),trabajo,4282.0
AYUTLA,(OTRA ENTIDAD),trabajo,1.0
AYUTLA,(OTRO MUNICIPIO),trabajo,183.0
BOLANOS,(MISMO MUNICIPIO),trabajo,1306.0
BOLANOS,(OTRA ENTIDAD),trabajo,30.0
BOLANOS,(OTRO MUNICIPIO),trabajo,46.0
CABO CORRIENTES,(MISMO MUNICIPIO),trabajo,3896.1
CABO CORRIENTES,(OTRA ENTIDAD),trabajo,9.0
CABO CORRIENTES,(OTRO MUNICIPIO),trabajo,454.9
CANADAS DE OBREGON,(MISMO MUNICIPIO),trabajo,1532.6
CANADAS DE OBREGON,(OTRA ENTIDAD),trabajo,6.0
CANADAS DE OBREGON,(OTRO MUNICIPIO),trabajo,111.4
CASIMIRO CASTILLO,(MISMO MUNICIPIO),trabajo,7749.4
CASIMIRO CASTILLO,(OTRA ENTIDAD),trabajo,19.0
CASIMIRO CASTILLO,(OTRO MUNICIPIO),trabajo,232.6
CHAPALA,(MISMO MUNICIPIO),trabajo,21904.5
CHAPALA,(OTRA ENTIDAD),trabajo,108.0
CHAPALA,(OTRO MUNICIPIO),trabajo,2133.5
CHIMALTITAN,(MISMO MUNICIPIO),trabajo,799.6
CHIMALTITAN,(OTRA ENTIDAD),trabajo,29.0
CHIMALTITAN,(OTRO MUNICIPIO),trabajo,103.4
CHIQUILISTLAN,(MISMO MUNICIPIO),trabajo,1762.3
CHIQUILISTLAN,(OTRA ENTIDAD),trabajo,8.0
CHIQUILISTLAN,(OTRO MUNICIPIO),trabajo,173.7
CIHUATLAN,(MISMO MUNICIPIO),trabajo,17528.4
CIHUATLAN,(OTRA ENTIDAD),trabajo,967.0
CIHUATLAN,(OTRO MUNICIPIO),trabajo,437.6
COCULA,(MISMO MUNICIPIO),trabajo,10913.7
COCULA,(OTRA ENTIDAD),trabajo,72.0
COCULA,(OTRO MUNICIPIO),trabajo,1035.3
COLOTLAN,(MISMO MUNICIPIO),trabajo,7927.9
COLOTLAN,(OTRA ENTIDAD),trabajo,163.0
COLOTLAN,(OTRO MUNICIPIO),trabajo,360.1
CONCEPCION DE BUENOS AIRES,(MISMO MUNICIPIO),trabajo,2576.7
CONCEPCION DE BUENOS AIRES,(OTRA ENTIDAD),trabajo,8.0
CONCEPCION DE BUENOS AIRES,(OTRO MUNICIPIO),trabajo,54.3
CUAUTITLAN DE GARCIA BARRAGAN,(MISMO MUNICIPIO),trabajo,4833.4
CUAUTITLAN DE GARCIA BARRAGAN,(OTRA ENTIDAD),trabajo,264.0
CUAUTITLAN DE GARCIA BARRAGAN,(OTRO MUNICIPIO),trabajo,361.6
CUAUTLA,(MISMO MUNICIPIO),trabajo,802.0
CUAUTLA,(OTRA ENTIDAD),trabajo,0.0
CUAUTLA,(OTRO MUNICIPIO),trabajo,45.0
CUQUIO,(MISMO MUNICIPIO),trabajo,5950.6
CUQUIO,(OTRA ENTIDAD),trabajo,28.0
CUQUIO,(OTRO MUNICIPIO),trabajo,321.4
DEGOLLADO,(MISMO MUNICIPIO),trabajo,7555.3
DEGOLLADO,(OTRA ENTIDAD),trabajo,199.0
DEGOLLADO,(OTRO MUNICIPIO),trabajo,177.7
EJUTLA,(MISMO MUNICIPIO),trabajo,713.8
EJUTLA,(OTRA ENTIDAD),trabajo,4.0
EJUTLA,(OTRO MUNICIPIO),trabajo,44.2
EL ARENAL,(MISMO MUNICIPIO),trabajo,4873.7
EL ARENAL,(OTRA ENTIDAD),trabajo,56.0
EL ARENAL,(OTRO MUNICIPIO),trabajo,3281.1
EL GRULLO,(MISMO MUNICIPIO),trabajo,9192.8
EL GRULLO,(OTRA ENTIDAD),trabajo,76.0
EL GRULLO,(OTRO MUNICIPIO),trabajo,1439.1
EL LIMON,(MISMO MUNICIPIO),trabajo,1939.9
EL LIMON,(OTRA ENTIDAD),trabajo,12.0
EL LIMON,(OTRO MUNICIPIO),trabajo,334.1
EL SALTO,(MISMO MUNICIPIO),trabajo,70955.1
EL SALTO,(OTRA ENTIDAD),trabajo,747.0
EL SALTO,(OTRO MUNICIPIO),trabajo,26870.5
ENCARNACION DE DIAZ,(MISMO MUNICIPIO),trabajo,21193.1
ENCARNACION DE DIAZ,(OTRA ENTIDAD),trabajo,1253.0
ENCARNACION DE DIAZ,(OTRO MUNICIPIO),trabajo,547.5
ETZATLAN,(MISMO MUNICIPIO),trabajo,7387.9
ETZATLAN,(OTRA ENTIDAD),trabajo,57.0
ETZATLAN,(OTRO MUNICIPIO),trabajo,823.1
GOMEZ FARIAS,(MISMO MUNICIPIO),trabajo,5335.0
GOMEZ FARIAS,(OTRA ENTIDAD),trabajo,91.0
GOMEZ FARIAS,(OTRO MUNICIPIO),trabajo,1698.0
GUACHINANGO,(MISMO MUNICIPIO),trabajo,1457.6
GUACHINANGO,(OTRA ENTIDAD),trabajo,51.0
GUACHINANGO,(OTRO MUNICIPIO),trabajo,40.4
GUADALAJARA,(MISMO MUNICIPIO),trabajo,560189.7
GUADALAJARA,(OTRA ENTIDAD),trabajo,3741.0
GUADALAJARA,(OTRO MUNICIPIO),trabajo,83182.4
HOSTOTIPAQUILLO,(MISMO MUNICIPIO),trabajo,2355.4
HOSTOTIPAQUILLO,(OTRA ENTIDAD),trabajo,82.0
HOSTOTIPAQUILLO,(OTRO MUNICIPIO),trabajo,275.6
HUEJUCAR,(MISMO MUNICIPIO),trabajo,2032.9
HUEJUCAR,(OTRA ENTIDAD),trabajo,73.0
HUEJUCAR,(OTRO MUNICIPIO),trabajo,31.1
HUEJUQUILLA EL ALTO,(MISMO MUNICIPIO),trabajo,3065.7
HUEJUQUILLA EL ALTO,(OTRA ENTIDAD),trabajo,40.0
HUEJUQUILLA EL ALTO,(OTRO MUNICIPIO),trabajo,20.3
IXTLAHUACAN DE LOS MEMBRILLOS,(MISMO MUNICIPIO),trabajo,16789.1
IXTLAHUACAN DE LOS MEMBRILLOS,(OTRA ENTIDAD),trabajo,162.0
IXTLAHUACAN DE LOS MEMBRILLOS,(OTRO MUNICIPIO),trabajo,11088.3
IXTLAHUACAN DEL RIO,(MISMO MUNICIPIO),trabajo,7408.7
IXTLAHUACAN DEL RIO,(OTRA ENTIDAD),trabajo,53.0
IXTLAHUACAN DEL RIO,(OTRO MUNICIPIO),trabajo,331.3
JALOSTOTITLAN,(MISMO MUNICIPIO),trabajo,12610.8
JALOSTOTITLAN,(OTRA ENTIDAD),trabajo,67.0
JALOSTOTITLAN,(OTRO MUNICIPIO),trabajo,411.1
JAMAY,(MISMO MUNICIPIO),trabajo,7425.4
JAMAY,(OTRA ENTIDAD),trabajo,146.0
JAMAY,(OTRO MUNICIPIO),trabajo,1942.5
JESUS MARIA,(MISMO MUNICIPIO),trabajo,7685.7
JESUS MARIA,(OTRA ENTIDAD),trabajo,65.0
JESUS MARIA,(OTRO MUNICIPIO),trabajo,148.3
JILOTLAN DE LOS DOLORES,(MISMO MUNICIPIO),trabajo,2917.9
JILOTLAN DE LOS DOLORES,(OTRA ENTIDAD),trabajo,88.0
JILOTLAN DE LOS DOLORES,(OTRO MUNICIPIO),trabajo,2.1
JOCOTEPEC,(MISMO MUNICIPIO),trabajo,18497.3
JOCOTEPEC,(OTRA ENTIDAD),trabajo,78.0
JOCOTEPEC,(OTRO MUNICIPIO),trabajo,1916.7
JUANACATLAN,(MISMO MUNICIPIO),trabajo,5584.7
JUANACATLAN,(OTRA ENTIDAD),trabajo,108.0
JUANACATLAN,(OTRO MUNICIPIO),trabajo,6901.2
JUCHITLAN,(MISMO MUNICIPIO),trabajo,1758.7
JUCHITLAN,(OTRA ENTIDAD),trabajo,5.0
JUCHITLAN,(OTRO MUNICIPIO),trabajo,80.3
LA BARCA,(MISMO MUNICIPIO),trabajo,25748.7
LA BARCA,(OTRA ENTIDAD),trabajo,1919.0
LA BARCA,(OTRO MUNICIPIO),trabajo,1405.3
LA HUERTA,(MISMO MUNICIPIO),trabajo,8915.6
LA HUERTA,(OTRA ENTIDAD),trabajo,27.0
LA HUERTA,(OTRO MUNICIPIO),trabajo,144.4
LA MANZANILLA DE LA PAZ,(MISMO MUNICIPIO),trabajo,1574.2
LA MANZANILLA DE LA PAZ,(OTRA ENTIDAD),trabajo,11.0
LA MANZANILLA DE LA PAZ,(OTRO MUNICIPIO),trabajo,119.8
LAGOS DE MORENO,(MISMO MUNICIPIO),trabajo,70468.7
LAGOS DE MORENO,(OTRA ENTIDAD),trabajo,1997.0
LAGOS DE MORENO,(OTRO MUNICIPIO),trabajo,732.9
MAGDALENA,(MISMO MUNICIPIO),trabajo,7021.0
MAGDALENA,(OTRA ENTIDAD),trabajo,132.0
MAGDALENA,(OTRO MUNICIPIO),trabajo,1581.0
MASCOTA,(MISMO MUNICIPIO),trabajo,6150.9
