ORIGEN,DESTINO,MOTIVO,VIAJES
ABASOLO,(MISMO MUNICIPIO),trabajo,440.0
ABASOLO,(OTRA ENTIDAD),trabajo,14.0
ABASOLO,(OTRO MUNICIPIO),trabajo,662.0
AGUALEGUAS,(MISMO MUNICIPIO),trabajo,1183.9
AGUALEGUAS,(OTRA ENTIDAD),trabajo,12.0
AGUALEGUAS,(OTRO MUNICIPIO),trabajo,118.1
ALLENDE,(MISMO MUNICIPIO),trabajo,12311.8
ALLENDE,(OTRA ENTIDAD),trabajo,251.0
ALLENDE,(OTRO MUNICIPIO),trabajo,1197.2
ANAHUAC,(MISMO MUNICIPIO),trabajo,6699.2
ANAHUAC,(OTRA ENTIDAD),trabajo,525.0
ANAHUAC,(OTRO MUNICIPIO),trabajo,98.8
APODACA,(MISMO MUNICIPIO),trabajo,178373.8
APODACA,(OTRA ENTIDAD),trabajo,2561.0
APODACA,(OTRO MUNICIPIO),trabajo,128409.7
ARAMBERRI,(MISMO MUNICIPIO),trabajo,4276.7
ARAMBERRI,(OTRA ENTIDAD),trabajo,152.0
ARAMBERRI,(OTRO MUNICIPIO),trabajo,92.3
BUSTAMANTE,(MISMO MUNICIPIO),trabajo,1090.5
BUSTAMANTE,(OTRA ENTIDAD),trabajo,22.0
BUSTAMANTE,(OTRO MUNICIPIO),trabajo,283.5
CADEREYTA JIMENEZ,(MISMO MUNICIPIO),trabajo,37756.9
CADEREYTA JIMENEZ,(OTRA ENTIDAD),trabajo,494.0
CADEREYTA JIMENEZ,(OTRO MUNICIPIO),trabajo,10563.1
CERRALVO,(MISMO MUNICIPIO),trabajo,2797.9
CERRALVO,(OTRA ENTIDAD),trabajo,65.0
CERRALVO,(OTRO MUNICIPIO),trabajo,95.1
CHINA,(MISMO MUNICIPIO),trabajo,3495.1
CHINA,(OTRA ENTIDAD),trabajo,81.0
CHINA,(OTRO MUNICIPIO),trabajo,124.9
CIENEGA DE FLORES,(MISMO MUNICIPIO),trabajo,19725.2
CIENEGA DE FLORES,(OTRA ENTIDAD),trabajo,328.0
CIENEGA DE FLORES,(OTRO MUNICIPIO),trabajo,9868.7
DOCTOR ARROYO,(MISMO MUNICIPIO),trabajo,11665.2
DOCTOR ARROYO,(OTRA ENTIDAD),trabajo,956.0
DOCTOR ARROYO,(OTRO MUNICIPIO),trabajo,375.8
DOCTOR COSS,(MISMO MUNICIPIO),trabajo,398.4
DOCTOR COSS,(OTRA ENTIDAD),trabajo,24.0
DOCTOR COSS,(OTRO MUNICIPIO),trabajo,26.5
DOCTOR GONZALEZ,(MISMO MUNICIPIO),trabajo,843.3
DOCTOR GONZALEZ,(OTRA ENTIDAD),trabajo,7.0
DOCTOR GONZALEZ,(OTRO MUNICIPIO),trabajo,269.7
EL CARMEN,(MISMO MUNICIPIO),trabajo,16197.7
EL CARMEN,(OTRA ENTIDAD),trabajo,360.0
EL CARMEN,(OTRO MUNICIPIO),trabajo,24645.9
GALEANA,(MISMO MUNICIPIO),trabajo,12092.5
GALEANA,(OTRA ENTIDAD),trabajo,1222.0
GALEANA,(OTRO MUNICIPIO),trabajo,144.5
GARCIA,(MISMO MUNICIPIO),trabajo,82264.2
GARCIA,(OTRA ENTIDAD),trabajo,1568.0
GARCIA,(OTRO MUNICIPIO),trabajo,85783.9
GENERAL BRAVO,(MISMO MUNICIPIO),trabajo,2083.5
GENERAL BRAVO,(OTRA ENTIDAD),trabajo,127.0
GENERAL BRAVO,(OTRO MUNICIPIO),trabajo,94.5
GENERAL ESCOBEDO,(MISMO MUNICIPIO),trabajo,92902.6
GENERAL ESCOBEDO,(OTRA ENTIDAD),trabajo,1155.0
GENERAL ESCOBEDO,(OTRO MUNICIPIO),trabajo,105967.0
GENERAL TERAN,(MISMO MUNICIPIO),trabajo,4718.8
GENERAL TERAN,(OTRA ENTIDAD),trabajo,79.0
GENERAL TERAN,(OTRO MUNICIPIO),trabajo,400.2
GENERAL TREVINO,(MISMO MUNICIPIO),trabajo,379.3
GENERAL TREVINO,(OTRA ENTIDAD),trabajo,18.0
GENERAL TREVINO,(OTRO MUNICIPIO),trabajo,132.7
GENERAL ZARAGOZA,(MISMO MUNICIPIO),trabajo,1561.6
GENERAL ZARAGOZA,(OTRA ENTIDAD),trabajo,27.0
GENERAL ZARAGOZA,(OTRO MUNICIPIO),trabajo,133.4
GENERAL ZUAZUA,(MISMO MUNICIPIO),trabajo,16894.8
GENERAL ZUAZUA,(OTRA ENTIDAD),trabajo,350.0
GENERAL ZUAZUA,(OTRO MUNICIPIO),trabajo,24626.7
GUADALUPE,(MISMO MUNICIPIO),trabajo,167044.5
GUADALUPE,(OTRA ENTIDAD),trabajo,1464.0
GUADALUPE,(OTRO MUNICIPIO),trabajo,117939.2
HIDALGO,(MISMO MUNICIPIO),trabajo,3179.9
HIDALGO,(OTRA ENTIDAD),trabajo,38.0
HIDALGO,(OTRO MUNICIPIO),trabajo,2762.9
HIGUERAS,(MISMO MUNICIPIO),trabajo,321.3
HIGUERAS,(OTRA ENTIDAD),trabajo,4.0
HIGUERAS,(OTRO MUNICIPIO),trabajo,226.7
HUALAHUISES,(MISMO MUNICIPIO),trabajo,1810.6
HUALAHUISES,(OTRA ENTIDAD),trabajo,64.0
HUALAHUISES,(OTRO MUNICIPIO),trabajo,699.4
ITURBIDE,(MISMO MUNICIPIO),trabajo,863.4
ITURBIDE,(OTRA ENTIDAD),trabajo,35.0
ITURBIDE,(OTRO MUNICIPIO),trabajo,237.6
JUAREZ,(MISMO MUNICIPIO),trabajo,80324.3
JUAREZ,(OTRA ENTIDAD),trabajo,810.0
JUAREZ,(OTRO MUNICIPIO),trabajo,122381.6
LAMPAZOS DE NARANJO,(MISMO MUNICIPIO),trabajo,1796.4
LAMPAZOS DE NARANJO,(OTRA ENTIDAD),trabajo,122.0
LAMPAZOS DE NARANJO,(OTRO MUNICIPIO),trabajo,102.6
LINARES,(MISMO MUNICIPIO),trabajo,31597.6
LINARES,(OTRA ENTIDAD),trabajo,671.0
LINARES,(OTRO MUNICIPIO),trabajo,2295.4
LOS ALDAMAS,(MISMO MUNICIPIO),trabajo,505.4
LOS ALDAMAS,(OTRA ENTIDAD),trabajo,20.0
LOS ALDAMAS,(OTRO MUNICIPIO),trabajo,14.6
LOS HERRERAS,(MISMO MUNICIPIO),trabajo,616.7
LOS HERRERAS,(OTRA ENTIDAD),trabajo,11.0
LOS HERRERAS,(OTRO MUNICIPIO),trabajo,18.3
LOS RAMONES,(MISMO MUNICIPIO),trabajo,1710.7
LOS RAMONES,(OTRA ENTIDAD),trabajo,65.0
LOS RAMONES,(OTRO MUNICIPIO),trabajo,120.3
MARIN,(MISMO MUNICIPIO),trabajo,1401.7
MARIN,(OTRA ENTIDAD),trabajo,13.0
MARIN,(OTRO MUNICIPIO),trabajo,622.3
MELCHOR OCAMPO,(MISMO MUNICIPIO),trabajo,395.1
MELCHOR OCAMPO,(OTRA ENTIDAD),trabajo,15.0
MELCHOR OCAMPO,(OTRO MUNICIPIO),trabajo,139.9
MIER Y NORIEGA,(MISMO MUNICIPIO),trabajo,1470.8
MIER Y NORIEGA,(OTRA ENTIDAD),trabajo,51.0
MIER Y NORIEGA,(OTRO MUNICIPIO),trabajo,99.2
MINA,(MISMO MUNICIPIO),trabajo,1288.9
MINA,(OTRA ENTIDAD),trabajo,29.0
MINA,(OTRO MUNICIPIO),trabajo,956.0
MONTEMORELOS,(MISMO MUNICIPIO),trabajo,23489.9
MONTEMORELOS,(OTRA ENTIDAD),trabajo,177.0
MONTEMORELOS,(OTRO MUNICIPIO),trabajo,2037.1
MONTERREY,(MISMO MUNICIPIO),trabajo,426316.6
MONTERREY,(OTRA ENTIDAD),trabajo,4273.0
MONTERREY,(OTRO MUNICIPIO),trabajo,73361.7
PARAS,(MISMO MUNICIPIO),trabajo,298.2
PARAS,(OTRA ENTIDAD),trabajo,10.0
PARAS,(OTRO MUNICIPIO),trabajo,26.8
PESQUERIA,(MISMO MUNICIPIO),trabajo,27867.4
PESQUERIA,(OTRA ENTIDAD),trabajo,522.0
PESQUERIA,(OTRO MUNICIPIO),trabajo,40896.2
RAYONES,(MISMO MUNICIPIO),trabajo,888.9
RAYONES,(OTRA ENTIDAD),trabajo,5.0
RAYONES,(OTRO MUNICIPIO),trabajo,11.1
SABINAS HIDALGO,(MISMO MUNICIPIO),trabajo,13293.1
SABINAS HIDALGO,(OTRA ENTIDAD),trabajo,266.0
SABINAS HIDALGO,(OTRO MUNICIPIO),trabajo,779.7
SALINAS VICTORIA,(MISMO MUNICIPIO),trabajo,21891.7
SALINAS VICTORIA,(OTRA ENTIDAD),trabajo,275.0
SALINAS VICTORIA,(OTRO MUNICIPIO),trabajo,15008.9
